4,8,But man is not made for defeat. A man can be destroyed but not defeated.
5,8,I may not be as strong as I think. but I know many tricks and I have resolution.
10,2,Truth can only be found in one place: the code.
11,2,Clean code always looks like it was written by someone who cares.
12,2,the ratio of time spent reading versus writing is well over 10 to 1. We are constantly reading old code as part of the effort to write new code. ...[Therefore] making it easy to read makes it easier to write.
13,3,Life moves on and so should we.
14,3,The quicker you let go of old cheese. the sooner you find new cheese.
15,3,If you do not change. you can become extinct !
16,3,It is safer to search in the maze than to remain in a cheeseless situation.
17,4,if a man does not master his circumstances then he is bound to be mastered by them.
18,4,Fate would not have the reputation it has. if it simply did what it seemed it would do.
19,5,The only way to go fast. is to go well.
20,6,Learning the art of programming, like most other disciplines. consists of first learning the rules and then learning when to break them.
21,7, 1 is actually a function with the two bound variables f and x. those two variables seem like two more variables than are needed to define a simple number.
22,9,It is a far. Far better thing that I do than I have ever done; it is a far. Far better rest that I go to than I have ever known.
36,3,test
